url,name,language
https://www.lyngsat.com/providers/lu/SES.html,SES,
https://www.lyngsat.com/providers/ma/Hit-Radio.html,"Hit Radio",
https://www.lyngsat.com/providers/ml/ORTM.html,ORTM,
https://www.lyngsat.com/providers/mm/MWD-Digital-TV.html,"MWD Digital TV",
https://www.lyngsat.com/providers/mx/Canal-10-Chiapas.html,"Canal 10 Chiapas",
https://www.lyngsat.com/providers/mx/Canal-del-Congreso-451.html,"Canal del Congreso 45.1",
https://www.lyngsat.com/providers/mx/Grupo-Radio-Centro.html,"Grupo Radio Centro",
https://www.lyngsat.com/providers/mx/Maria-Vision.html,María+Visión,
https://www.lyngsat.com/providers/mx/Televisa-Networks.html,"Televisa Networks",
https://www.lyngsat.com/providers/mx/Televisa.html,Televisa,
https://www.lyngsat.com/providers/mx/TV-Mexiquense.html,"TV Méxiquense",
https://www.lyngsat.com/providers/ng/Silverbird-TV.html,"Silverbird TV",
https://www.lyngsat.com/providers/ni/Albavision.html,Albavisión,
https://www.lyngsat.com/providers/np/Kantipur-Media-Group.html,"Kantipur Media Group",
https://www.lyngsat.com/providers/nz/Freeview.html,Freeview,
https://www.lyngsat.com/providers/nz/Pasifika-TV.html,"Pasifika TV",
https://www.lyngsat.com/providers/pe/CRP-Radios.html,"CRP Radios",
https://www.lyngsat.com/providers/pe/Grupo-ATV.html,"Grupo ATV",
https://www.lyngsat.com/providers/pe/Grupo-RPP.html,"Grupo RPP",
https://www.lyngsat.com/providers/pe/IRTP.html,IRTP,
https://www.lyngsat.com/providers/pe/Latina.html,Latina,
https://www.lyngsat.com/providers/ph/ABS-CBN.html,ABS-CBN,
https://www.lyngsat.com/providers/ph/GMA-Network.html,"GMA Network",
https://www.lyngsat.com/providers/ph/Peoples-TV.html,"People's TV",
https://www.lyngsat.com/providers/ph/Solar-Entertainment.html,"Solar Entertainment",
https://www.lyngsat.com/providers/ph/TV-5-Network.html,"TV 5 Network",
https://www.lyngsat.com/providers/ph/Viva-Entertainment.html,"Viva Entertainment",
https://www.lyngsat.com/providers/ph/Zoe-Broadcasting-Network.html,"Zoe Broadcasting Network",
https://www.lyngsat.com/providers/pk/AVT-Channels.html,"AVT Channels",
https://www.lyngsat.com/providers/pk/Dunya-Media-Group.html,"Dunya Media Group",
https://www.lyngsat.com/providers/pk/Express.html,Express,
https://www.lyngsat.com/providers/pk/Geo-TV-Network.html,"Geo TV Network",
https://www.lyngsat.com/providers/pk/Hum-Network.html,"Hum Network",
https://www.lyngsat.com/providers/pk/KTN-Network.html,"KTN Network",
https://www.lyngsat.com/providers/pk/PTV-Network.html,"PTV Network",
https://www.lyngsat.com/providers/pk/Radio-Pakistan.html,"Radio Pakistan",
https://www.lyngsat.com/providers/pk/Suno-FM.html,"Suno FM",
https://www.lyngsat.com/providers/pk/TeleNest.html,TeleNest,
https://www.lyngsat.com/providers/pk/VU-TV-Network.html,"VU TV Network",
https://www.lyngsat.com/providers/pt/RTP.html,RTP,
https://www.lyngsat.com/providers/ru/Gazprom-Space-Systems.html,"Gazprom Space Systems",
https://www.lyngsat.com/providers/ru/RSCC.html,RSCC,
https://www.lyngsat.com/providers/ru/RTRS-1.html,"RTRS 1",
https://www.lyngsat.com/providers/ru/RTRS-2.html,"RTRS 2",
https://www.lyngsat.com/providers/ru/RTRS-Belgorod.html,"RTRS Belgorod",
https://www.lyngsat.com/providers/ru/RTRS-Bryansk.html,"RTRS Bryansk",
https://www.lyngsat.com/providers/ru/RTRS-Chelyabinsk.html,"RTRS Chelyabinsk",
https://www.lyngsat.com/providers/ru/RTRS-Kaluga.html,"RTRS Kaluga",
https://www.lyngsat.com/providers/ru/RTRS-Karelija.html,"RTRS Karelija",
https://www.lyngsat.com/providers/ru/RTRS-Krasnodar.html,"RTRS Krasnodar",
https://www.lyngsat.com/providers/ru/RTRS-Krasnoyarsk.html,"RTRS Krasnoyarsk",
https://www.lyngsat.com/providers/ru/RTRS-Murmansk.html,"RTRS Murmansk",
https://www.lyngsat.com/providers/ru/RTRS-Rostov.html,"RTRS Rostov",
https://www.lyngsat.com/providers/ru/RTRS-Saratov.html,"RTRS Saratov",
https://www.lyngsat.com/providers/ru/RTRS-Smolensk.html,"RTRS Smolensk",
https://www.lyngsat.com/providers/ru/RTRS-Sochi.html,"RTRS Sochi",
https://www.lyngsat.com/providers/ru/RTRS-Stavropol.html,"RTRS Stavropol",
https://www.lyngsat.com/providers/ru/RTRS-Tomsk.html,"RTRS Tomsk",
https://www.lyngsat.com/providers/ru/RTRS-Tula.html,"RTRS Tula",
https://www.lyngsat.com/providers/ru/RTRS-Tyumen.html,"RTRS Tyumen",
https://www.lyngsat.com/providers/ru/RTRS-Voronezh.html,"RTRS Voronezh",
https://www.lyngsat.com/providers/ru/RTRS-Yakutia.html,"RTRS Yakutia",
https://www.lyngsat.com/providers/ru/RTRS-Yamal.html,"RTRS Yamal",
https://www.lyngsat.com/providers/ru/RTRS-Yaroslavl.html,"RTRS Yaroslavl",
https://www.lyngsat.com/providers/ru/RTRS-Yugoria.html,"RTRS Yugoria",
https://www.lyngsat.com/providers/ru/RTRS.html,RTRS,
https://www.lyngsat.com/providers/ru/Russkiy-Mir.html,"Russkiy Mir",
https://www.lyngsat.com/providers/rw/Rwanda-TV.html,"Rwanda TV",
https://www.lyngsat.com/providers/sa/Arabsat.html,Arabsat,
https://www.lyngsat.com/providers/sa/Saudi-Broadcasting-Authority.html,"Saudi Broadcasting Authority",
https://www.lyngsat.com/providers/so/DalSat-Global.html,"DalSat Global",
https://www.lyngsat.com/providers/tg/New-World-TV.html,"New World TV",
https://www.lyngsat.com/providers/tg/TVT.html,TVT,
https://www.lyngsat.com/providers/tn/ASBU-Bouquet.html,"ASBU Bouquet",
https://www.lyngsat.com/providers/tw/Chunghwa-Telecom.html,"Chunghwa Telecom",
https://www.lyngsat.com/providers/tw/NER-Taipei.html,"NER Taipei",
https://www.lyngsat.com/providers/tw/TAS.html,TAS,
https://www.lyngsat.com/providers/tz/IPP-Media.html,"IPP Media",
https://www.lyngsat.com/providers/tz/TBC.html,TBC,
https://www.lyngsat.com/providers/uk/Arqiva.html,Arqiva,
https://www.lyngsat.com/providers/uk/BBC-World-Service.html,"BBC World Service",
https://www.lyngsat.com/providers/uk/BFBS.html,BFBS,
https://www.lyngsat.com/providers/uk/Freeview.html,Freeview,
https://www.lyngsat.com/providers/uk/Wide-Network-Solutions.html,"Wide Network Solutions",
https://www.lyngsat.com/providers/us/A-E-Networks.html,"A+E Networks",
https://www.lyngsat.com/providers/us/Alhurra-TV.html,"Alhurra TV",
https://www.lyngsat.com/providers/us/AMC-Networks.html,"AMC Networks",
https://www.lyngsat.com/providers/us/American-Forces-Network.html,"American Forces Network",
https://www.lyngsat.com/providers/us/Anuvu.html,Anuvu,
https://www.lyngsat.com/providers/us/Bally-Sports.html,"Bally Sports",
https://www.lyngsat.com/providers/us/Big-Ten-Network.html,"Big Ten Network",
https://www.lyngsat.com/providers/us/Bloomberg-TV.html,"Bloomberg TV",
https://www.lyngsat.com/providers/us/C-SPAN.html,C-SPAN,
https://www.lyngsat.com/providers/us/CNN.html,CNN,
https://www.lyngsat.com/providers/us/CruiseSat.html,CruiseSat,
https://www.lyngsat.com/providers/us/CTN.html,"CTN (USA)",
https://www.lyngsat.com/providers/us/Encompass.html,Encompass,
https://www.lyngsat.com/providers/us/ESPN.html,ESPN,
https://www.lyngsat.com/providers/us/EWTN.html,EWTN,
https://www.lyngsat.com/providers/us/GCI.html,GCI,
https://www.lyngsat.com/providers/us/HBO-Network-Latinoamerica.html,"HBO Network Latinoamérica",
