url,name,beam,frequency,symbol_rate,forward_error_correction,video_encoding,language,encryption,ch_type
https://www.lyngsat.com/radiochannels/cn/CNR-3-Music-Radio.html,CNR 3 Music Radio,0,11980 R,28800,4-Mar,,,Videoguard,radio
https://www.lyngsat.com/radiochannels/cn/CNR-4-Golden-Radio.html,CNR 4 Golden Radio,0,11980 R,28800,4-Mar,,,Videoguard,radio
https://www.lyngsat.com/radiochannels/cn/CNR-5-Taiwan-service-1.html,CNR 5 Taiwan service 1,0,11980 R,28800,4-Mar,,,Videoguard,radio
https://www.lyngsat.com/radiochannels/cn/CNR-6-Taiwan-service-2.html,CNR 6 Taiwan service 2,0,11980 R,28800,4-Mar,,,Videoguard,radio
https://www.lyngsat.com/radiochannels/cn/CNR-7-Radio-The-Greater-Bay.html,CNR 7 Radio The Greater Bay,0,11980 R,28800,4-Mar,,,Videoguard,radio
https://www.lyngsat.com/radiochannels/cn/CNR-8-Minorities-service.html,CNR 8 Minorities service,0,11980 R,28800,4-Mar,,,Videoguard,radio
https://www.lyngsat.com/radiochannels/cn/CNR-9-FM-1066.html,CNR 9 FM 106.6,0,11980 R,28800,4-Mar,,,Videoguard,radio
https://www.lyngsat.com/radiochannels/cn/CRI-Ez-FM.html,CRI Ez FM,None,4175 V,18000,2-Jan,,Eng,,radio
https://www.lyngsat.com/radiochannels/cn/CRI-Hit-FM-887.html,CRI Hit FM 88.7,None,4175 V,18000,2-Jan,,Eng,,radio
https://www.lyngsat.com/radiochannels/cn/CRI-Newsradio.html,CRI Newsradio,None,12020 R,28800,4-Mar,,,Videoguard,radio
https://www.lyngsat.com/radiochannels/cn/East-City-FM-899.html,East City FM 89.9,None,3808 H,8800,4-Mar,,Chi,,radio
https://www.lyngsat.com/radiochannels/cn/Fujian-News-Radio.html,Fujian News Radio,0,11920 L,28800,4-Mar,,,Videoguard,radio
https://www.lyngsat.com/radiochannels/cn/Fujian-South-East-Radio.html,Fujian South East Radio,None,4030 H,10920,4-Mar,,Chi,,radio
https://www.lyngsat.com/radiochannels/cn/Gansu-Economic-Radio.html,Gansu Economic Radio,None,3913 V,6400,4-Mar,,Chi,,radio
https://www.lyngsat.com/radiochannels/cn/Gansu-News-Radio.html,Gansu News Radio,C,3872 V,10000,4-Mar,,Chi,,radio
https://www.lyngsat.com/radiochannels/cn/Gansu-Peoples-Radio.html,Gansu People's Radio,None,3913 V,6400,4-Mar,,Chi,,radio
https://www.lyngsat.com/radiochannels/cn/Gansu-Rural-Radio.html,Gansu Rural Radio,None,3913 V,6400,4-Mar,,Chi,,radio
https://www.lyngsat.com/radiochannels/cn/Gansu-Traffic-Radio.html,Gansu Traffic Radio,C,3872 V,10000,4-Mar,,Chi,,radio
https://www.lyngsat.com/radiochannels/cn/Gansu-Urban-FM.html,Gansu Urban FM,C,3872 V,10000,4-Mar,,Chi,,radio
https://www.lyngsat.com/radiochannels/cn/Gansu-Youth-FM.html,Gansu Youth FM,C,3872 V,10000,4-Mar,,Chi,,radio
https://www.lyngsat.com/radiochannels/cn/Golden-Eagle-955.html,Golden Eagle 955,None,3750 H,10490,4-Mar,,Chi,,radio
https://www.lyngsat.com/radiochannels/cn/Guangdong-Economy-Radio.html,Guangdong Economy Radio,C,3845 H,17778,4-Mar,,Chi,,radio
https://www.lyngsat.com/radiochannels/cn/Guangdong-Peoples-Radio.html,Guangdong People's Radio,C,3845 H,17778,4-Mar,,Chi,,radio
https://www.lyngsat.com/radiochannels/cn/Guangdong-Radio.html,Guangdong Radio,0,11920 L,28800,4-Mar,,,Videoguard,radio
https://www.lyngsat.com/radiochannels/cn/Guangdong-Sports-Radio.html,Guangdong Sports Radio,C,3845 H,17778,4-Mar,,Chi,,radio
https://www.lyngsat.com/radiochannels/cn/Guangdong-Sun-FM.html,Guangdong Sun FM,C,3845 H,17778,4-Mar,,Chi,,radio
